SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,PetalArea,SepalArea,PetalLengthToSepalLength,PetalWidthToSepalWidth
5.7,3.0,4.2,1.2,Iris-versicolor,5.04,17.1,0.7368421052631579,0.39999999999999997
5.7,2.9,4.2,1.3,Iris-versicolor,5.460000000000001,16.53,0.7368421052631579,0.4482758620689655
6.2,2.9,4.3,1.3,Iris-versicolor,5.59,17.98,0.6935483870967741,0.4482758620689655
5.1,2.5,3.0,1.1,Iris-versicolor,3.3000000000000003,12.75,0.5882352941176471,0.44000000000000006
5.7,2.8,4.1,1.3,Iris-versicolor,5.33,15.959999999999999,0.719298245614035,0.46428571428571436
6.3,3.3,6.0,2.5,Iris-virginica,15.0,20.79,0.9523809523809524,0.7575757575757576
5.8,2.7,5.1,1.9,Iris-virginica,9.69,15.66,0.8793103448275862,0.7037037037037036
7.1,3.0,5.9,2.1,Iris-virginica,12.39,21.299999999999997,0.8309859154929579,0.7000000000000001
6.3,2.9,5.6,1.8,Iris-virginica,10.08,18.27,0.8888888888888888,0.6206896551724138
6.5,3.0,5.8,2.2,Iris-virginica,12.76,19.5,0.8923076923076922,0.7333333333333334
7.6,3.0,6.6,2.1,Iris-virginica,13.86,22.799999999999997,0.868421052631579,0.7000000000000001
4.9,2.5,4.5,1.7,Iris-virginica,7.6499999999999995,12.25,0.9183673469387754,0.6799999999999999
7.3,2.9,6.3,1.8,Iris-virginica,11.34,21.169999999999998,0.863013698630137,0.6206896551724138
6.7,2.5,5.8,1.8,Iris-virginica,10.44,16.75,0.8656716417910447,0.72
7.2,3.6,6.1,2.5,Iris-virginica,15.25,25.92,0.8472222222222221,0.6944444444444444
6.5,3.2,5.1,2.0,Iris-virginica,10.2,20.8,0.7846153846153846,0.625
6.4,2.7,5.3,1.9,Iris-virginica,10.069999999999999,17.28,0.8281249999999999,0.7037037037037036
6.8,3.0,5.5,2.1,Iris-virginica,11.55,20.4,0.8088235294117647,0.7000000000000001
5.7,2.5,5.0,2.0,Iris-virginica,10.0,14.25,0.8771929824561403,0.8
5.8,2.8,5.1,2.4,Iris-virginica,12.239999999999998,16.24,0.8793103448275862,0.8571428571428572
6.4,3.2,5.3,2.3,Iris-virginica,12.19,20.480000000000004,0.8281249999999999,0.7187499999999999
6.5,3.0,5.5,1.8,Iris-virginica,9.9,19.5,0.8461538461538461,0.6
7.7,3.8,6.7,2.2,Iris-virginica,14.740000000000002,29.259999999999998,0.8701298701298701,0.5789473684210527
7.7,2.6,6.9,2.3,Iris-virginica,15.87,20.02,0.8961038961038962,0.8846153846153845
6.0,2.2,5.0,1.5,Iris-virginica,7.5,13.200000000000001,0.8333333333333334,0.6818181818181818
6.9,3.2,5.7,2.3,Iris-virginica,13.11,22.080000000000002,0.8260869565217391,0.7187499999999999
5.6,2.8,4.9,2.0,Iris-virginica,9.8,15.679999999999998,0.8750000000000001,0.7142857142857143
7.7,2.8,6.7,2.0,Iris-virginica,13.4,21.56,0.8701298701298701,0.7142857142857143
6.3,2.7,4.9,1.8,Iris-virginica,8.82,17.01,0.7777777777777779,0.6666666666666666
6.7,3.3,5.7,2.1,Iris-virginica,11.97,22.11,0.8507462686567164,0.6363636363636365
7.2,3.2,6.0,1.8,Iris-virginica,10.8,23.040000000000003,0.8333333333333333,0.5625
6.2,2.8,4.8,1.8,Iris-virginica,8.64,17.36,0.7741935483870968,0.6428571428571429
6.1,3.0,4.9,1.8,Iris-virginica,8.82,18.299999999999997,0.8032786885245903,0.6
6.4,2.8,5.6,2.1,Iris-virginica,11.76,17.919999999999998,0.8749999999999999,0.7500000000000001
7.2,3.0,5.8,1.6,Iris-virginica,9.28,21.6,0.8055555555555555,0.5333333333333333
7.4,2.8,6.1,1.9,Iris-virginica,11.589999999999998,20.72,0.8243243243243242,0.6785714285714286
7.9,3.8,6.4,2.0,Iris-virginica,12.8,30.02,0.810126582278481,0.5263157894736842
6.4,2.8,5.6,2.2,Iris-virginica,12.32,17.919999999999998,0.8749999999999999,0.7857142857142858
6.3,2.8,5.1,1.5,Iris-virginica,7.6499999999999995,17.639999999999997,0.8095238095238095,0.5357142857142857
6.1,2.6,5.6,1.4,Iris-virginica,7.839999999999999,15.86,0.9180327868852459,0.5384615384615384
7.7,3.0,6.1,2.3,Iris-virginica,14.029999999999998,23.1,0.7922077922077921,0.7666666666666666
6.3,3.4,5.6,2.4,Iris-virginica,13.44,21.419999999999998,0.8888888888888888,0.7058823529411765
6.4,3.1,5.5,1.8,Iris-virginica,9.9,19.840000000000003,0.859375,0.5806451612903226
6.0,3.0,4.8,1.8,Iris-virginica,8.64,18.0,0.7999999999999999,0.6
6.9,3.1,5.4,2.1,Iris-virginica,11.340000000000002,21.39,0.782608695652174,0.6774193548387097
6.7,3.1,5.6,2.4,Iris-virginica,13.44,20.77,0.835820895522388,0.7741935483870968
6.9,3.1,5.1,2.3,Iris-virginica,11.729999999999999,21.39,0.7391304347826086,0.7419354838709676
5.8,2.7,5.1,1.9,Iris-virginica,9.69,15.66,0.8793103448275862,0.7037037037037036
6.8,3.2,5.9,2.3,Iris-virginica,13.57,21.76,0.8676470588235294,0.7187499999999999
6.7,3.3,5.7,2.5,Iris-virginica,14.25,22.11,0.8507462686567164,0.7575757575757576
6.7,3.0,5.2,2.3,Iris-virginica,11.959999999999999,20.1,0.7761194029850746,0.7666666666666666
6.3,2.5,5.0,1.9,Iris-virginica,9.5,15.75,0.7936507936507937,0.76
6.5,3.0,5.2,2.0,Iris-virginica,10.4,19.5,0.8,0.6666666666666666
6.2,3.4,5.4,2.3,Iris-virginica,12.42,21.08,0.8709677419354839,0.676470588235294
5.9,3.0,5.1,1.8,Iris-virginica,9.18,17.700000000000003,0.8644067796610169,0.6
